COD_WMO,UF,ESTACAO,LAT,LON,ALT,SOLAR_IRRAD_kwh_m2_dia,WIND_SPEED_ms,anos_disponiveis,dias_validos_total
A436,BA,QUEIMADAS,-10.98472221,-39.61694443,310.11,4.4364,2.9504,4,730
A423,BA,REMANSO,-9.62555554,-42.07722221,397.4,5.8436,3.4529,4,1117
A458,BA,RIBEIRA DO AMPARO,-11.05861111,-38.44416666,182.0,4.7977,2.1407,4,1460
A401,BA,SALVADOR,-13.005515,-38.50576,47.56,4.3846,1.2137,4,1461
A456,BA,SALVADOR (RADIO FAROL),-12.80833333,-38.49583333,31.0,4.2383,1.3795,4,1211
A415,BA,SANTA RITA DE CASSIA,-11.00277777,-44.52499999,450.01,4.578,2.3732,4,1133
A428,BA,SENHOR DO BONFIM,-10.44305555,-40.14833333,532.09,3.5147,2.6937,4,1171
A441,BA,SERRINHA,-11.66472222,-39.02305554,337.79,4.4038,2.5843,4,82
A437,BA,UNA,-15.28027777,-39.09138888,74.08,4.4489,1.2542,4,791
A444,BA,VALENCA,-13.3436111,-39.12666666,93.12,4.163,1.3006,4,629
A414,BA,VITORIA DA CONQUISTA,-14.88638888,-40.80138888,879.38,5.3092,2.0416,4,1461
A360,CE,ACARAU,-3.1211111,-40.08722221,67.15,4.9779,3.1715,4,673
A315,CE,BARBALHA,-7.30083333,-39.2711111,409.41,2.9986,1.3438,4,354
A347,CE,CAMPOS SALES,-7.07777777,-40.36277777,577.95,4.3149,2.5042,4,422
A342,CE,CRATEUS,-5.18666666,-40.67222221,298.19,3.1532,1.8147,4,1258
A305,CE,FORTALEZA,-3.81583333,-38.53777777,29.55,3.7014,2.2253,4,883
A314,CE,GUARAMIRANGA,-4.22916666,-38.95888888,865.53,3.13,1.9004,4,356
